[2025-02-20 08:59:35] User -> District added ->admin@pds| Requested JSON -> {"name":"Test"}
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Mnp
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Mnp
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Test Data 1
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Test OK
[2025-02-20 12:33:43] User -> Mill InActive -> admin@pds| Alipurduar
[2025-02-20 12:33:58] User -> Mill Active -> admin@pds| Alipurduar
[2025-02-20 12:35:25] User -> Mill deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-02-20 12:36:40] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:42] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:42] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:42] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:43] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:44] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:44] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:44] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:44] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:44] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:44] User -> Mill Added -> admin@pds| Mnp
[2025-02-20 12:36:44] User -> Mill Added -> admin@pds| Mnp
